Question,Hint,Answer
What does high network utilization tell you?,"Think traffic volume, not necessarily a faulty NIC.","Identify which process/device is generating traffic and determine whether the traffic is expected, excessive, or malicious."
What is a resource bottleneck?,Think the component limiting overall performance.,A bottleneck is the constrained resource that limits system throughput or responsiveness.
What is a memory leak?,Think an application keeps consuming memory without releasing it properly.,"A memory leak occurs when software fails to release memory it no longer needs, causing usage to grow over time."
What is a runaway process?,"Think a process consuming excessive CPU, memory, or other resources unexpectedly.",A runaway process is behaving abnormally and consuming excessive system resources.
A computer becomes slow after several days but works normally after reboot. What should you investigate?,The pattern suggests something accumulating over time.,"Investigate memory leaks, runaway processes, resource exhaustion, scheduled tasks, drivers, and long-running services."
What is a service?,Think a background program that provides a system or application function.,"A service is a background software component that performs a defined function, often without direct user interaction."
What is a startup application?,Think programs configured to launch when the OS/user session starts.,A startup application launches automatically during system startup or user logon.
Why can excessive startup applications slow boot time?,The system has to initialize all of them and their dependencies.,"Too many startup applications consume CPU, memory, storage, and initialization time."
What is a clean boot useful for?,Think starting Windows with a reduced set of nonessential services/startup programs.,A clean boot helps isolate software conflicts by starting Windows with a minimal set of services and startup programs.
What is safe mode with networking?,Think Safe Mode plus network support.,It starts Windows with minimal drivers/services while enabling supported networking functionality.
What is a hardware diagnostic?,Think testing a component rather than guessing.,A hardware diagnostic performs tests designed to identify failures or abnormal behavior in hardware.
What is memtest used for?,Think memory testing.,Memory-testing utilities such as MemTest86 can test RAM for errors.
What is a SMART long test?,Think deeper storage diagnostics rather than a quick status check.,A SMART extended/long test performs a more comprehensive drive self-test when supported.
What is a loopback test on a network interface?,Think testing the interface without depending on a remote network device.,A loopback test verifies transmit/receive behavior by routing the signal back to the interface.
